idx,target_x,target_y,target_z,target_u,target_v,true_row,true_col,top1_row,top1_col,top1_grid_match,true_cell_objectness,top1_objectness,true_cell_error_m,top1_error_m,true_cell_pred_x,true_cell_pred_y,true_cell_pred_z,top1_pred_x,top1_pred_y,top1_pred_z
10,8.0,0.0,0.0,79.5,44.5,1,2,1,2,1,0.9999998807907104,0.9999998807907104,1.7931898832321167,1.7931898832321167,6.223003387451172,-0.1400362104177475,-0.19545620679855347,6.223003387451172,-0.1400362104177475,-0.19545620679855347
11,8.0,0.9599999785423279,0.0,69.9000015258789,44.5,1,2,1,2,1,0.9999998807907104,0.9999998807907104,1.8342212438583374,1.8342212438583374,6.390068054199219,0.09953157603740692,-0.17911146581172943,6.390068054199219,0.09953157603740692,-0.17911146581172943
12,8.0,-0.9599999785423279,0.0,89.0999984741211,44.5,1,2,1,2,1,0.9999998807907104,0.9999998807907104,1.92587411403656,1.92587411403656,6.086485385894775,-0.7482287883758545,-0.05104734003543854,6.086485385894775,-0.7482287883758545,-0.05104734003543854
13,8.0,0.0,0.6399999856948853,79.5,38.264617919921875,1,2,1,2,1,1.0,1.0,1.926950216293335,1.926950216293335,6.104163646697998,-0.32188063859939575,0.5161672830581665,6.104163646697998,-0.32188063859939575,0.5161672830581665
14,8.0,0.0,-0.6399999856948853,79.5,50.735382080078125,1,2,1,2,1,0.9999998807907104,0.9999998807907104,1.846427321434021,1.846427321434021,6.159641265869141,-0.14797811210155487,-0.6181849837303162,6.159641265869141,-0.14797811210155487,-0.6181849837303162
15,10.0,0.0,0.0,79.5,44.5,1,2,1,2,1,1.0,1.0,3.3495700359344482,3.3495700359344482,6.66372013092041,-0.22048546373844147,-0.20060299336910248,6.66372013092041,-0.22048546373844147,-0.20060299336910248
16,10.0,1.2000000476837158,0.0,69.9000015258789,44.5,1,2,1,2,1,1.0,1.0,3.4123899936676025,3.4123899936676025,6.791162490844727,0.0499361976981163,-0.15849201381206512,6.791162490844727,0.0499361976981163,-0.15849201381206512
17,10.0,-1.2000000476837158,0.0,89.0999984741211,44.5,1,2,1,2,1,1.0,1.0,3.46938419342041,3.46938419342041,6.547818660736084,-0.8572968244552612,-0.040308043360710144,6.547818660736084,-0.8572968244552612,-0.040308043360710144
18,10.0,0.0,0.800000011920929,79.5,38.264617919921875,1,2,0,2,0,1.0,1.0,3.439457893371582,3.3592529296875,6.587151527404785,-0.36719781160354614,0.5820514559745789,6.741929531097412,-0.5349572896957397,1.4191750288009644
19,10.0,0.0,-0.800000011920929,79.5,50.735382080078125,1,2,1,2,1,1.0,1.0,3.3846418857574463,3.3846418857574463,6.6278605461120605,-0.272015243768692,-0.6976086497306824,6.6278605461120605,-0.272015243768692,-0.6976086497306824
20,12.0,0.0,0.0,79.5,44.5,1,2,1,2,1,1.0,1.0,5.250222682952881,5.250222682952881,6.759609222412109,-0.2748437821865082,-0.16614024341106415,6.759609222412109,-0.2748437821865082,-0.16614024341106415
21,12.0,1.440000057220459,0.0,69.9000015258789,44.5,1,2,1,2,1,1.0,1.0,5.3162431716918945,5.3162431716918945,6.889244079589844,-0.01670709438621998,-0.14359982311725616,6.889244079589844,-0.01670709438621998,-0.14359982311725616
22,12.0,-1.440000057220459,0.0,89.0999984741211,44.5,1,2,1,2,1,1.0,1.0,5.493363380432129,5.493363380432129,6.53789758682251,-0.8586190342903137,-0.06689856201410294,6.53789758682251,-0.8586190342903137,-0.06689856201410294
23,12.0,0.0,0.9599999785423279,79.5,38.264617919921875,1,2,0,2,0,1.0,1.0,5.42934513092041,5.264302730560303,6.598202705383301,-0.3775761127471924,0.5652750730514526,6.78750467300415,-0.5609710216522217,1.4375851154327393
24,12.0,0.0,-0.9599999785423279,79.5,50.735382080078125,1,2,1,2,1,1.0,1.0,5.340744495391846,5.340744495391846,6.675459861755371,-0.3182407021522522,-0.6925137042999268,6.675459861755371,-0.3182407021522522,-0.6925137042999268
