idx,target_x,target_y,target_z,target_u,target_v,true_row,true_col,top1_row,top1_col,top1_grid_match,true_cell_objectness,top1_objectness,true_cell_error_m,top1_error_m,true_cell_pred_x,true_cell_pred_y,true_cell_pred_z,top1_pred_x,top1_pred_y,top1_pred_z
10,8.0,0.0,0.0,79.5,44.5,1,2,1,2,1,0.00036981466109864414,0.00036981466109864414,6.255698204040527,6.255698204040527,1.7444370985031128,-0.03656098619103432,-0.018975012004375458,1.7444370985031128,-0.03656098619103432,-0.018975012004375458
11,8.0,0.9599999785423279,0.0,69.9000015258789,44.5,1,2,1,2,1,0.00020899006631225348,0.00020899006631225348,6.445539951324463,6.445539951324463,1.633847713470459,-0.04834841564297676,-0.018040364608168602,1.633847713470459,-0.04834841564297676,-0.018040364608168602
12,8.0,-0.9599999785423279,0.0,89.0999984741211,44.5,1,2,1,2,1,0.0031037500593811274,0.0031037500593811274,6.542286396026611,6.542286396026611,1.520462989807129,-0.05679463967680931,-0.03641963750123978,1.520462989807129,-0.05679463967680931,-0.03641963750123978
13,8.0,0.0,0.6399999856948853,79.5,38.264617919921875,1,2,1,2,1,0.036973316222429276,0.036973316222429276,6.60152006149292,6.60152006149292,1.4248487949371338,-0.046717386692762375,0.05240483954548836,1.4248487949371338,-0.046717386692762375,0.05240483954548836
14,8.0,0.0,-0.6399999856948853,79.5,50.735382080078125,1,2,1,2,1,0.0029294590931385756,0.0029294590931385756,6.374242305755615,6.374242305755615,1.6533820629119873,-0.03611617162823677,-0.048307452350854874,1.6533820629119873,-0.03611617162823677,-0.048307452350854874
15,10.0,0.0,0.0,79.5,44.5,1,2,1,2,1,0.00016441606567241251,0.00016441606567241251,8.23187255859375,8.23187255859375,1.7682583332061768,-0.04155316576361656,-0.020629027858376503,1.7682583332061768,-0.04155316576361656,-0.020629027858376503
16,10.0,1.2000000476837158,0.0,69.9000015258789,44.5,1,2,1,2,1,0.00011042506230296567,0.00011042506230296567,8.45181655883789,8.45181655883789,1.6426854133605957,-0.06029041111469269,-0.012427006848156452,1.6426854133605957,-0.06029041111469269,-0.012427006848156452
17,10.0,-1.2000000476837158,0.0,89.0999984741211,44.5,1,2,1,2,1,0.0009682443924248219,0.0009682443924248219,8.52287769317627,8.52287769317627,1.5548129081726074,-0.052692994475364685,-0.04421499744057655,1.5548129081726074,-0.052692994475364685,-0.04421499744057655
18,10.0,0.0,0.800000011920929,79.5,38.264617919921875,1,2,1,2,1,0.017498241737484932,0.017498241737484932,8.58211612701416,8.58211612701416,1.4510602951049805,-0.04518413916230202,0.047470781952142715,1.4510602951049805,-0.04518413916230202,0.047470781952142715
19,10.0,0.0,-0.800000011920929,79.5,50.735382080078125,1,2,1,2,1,0.0012720349477604032,0.0012720349477604032,8.348896026611328,8.348896026611328,1.685186743736267,-0.04006323590874672,-0.04744463041424751,1.685186743736267,-0.04006323590874672,-0.04744463041424751
20,12.0,0.0,0.0,79.5,44.5,1,2,1,2,1,5.789770511910319e-05,5.789770511910319e-05,10.224851608276367,10.224851608276367,1.7752881050109863,-0.052219655364751816,-0.011030503548681736,1.7752881050109863,-0.052219655364751816,-0.011030503548681736
21,12.0,1.440000057220459,0.0,69.9000015258789,44.5,1,2,1,2,1,4.6224708057707176e-05,4.6224708057707176e-05,10.462450981140137,10.462450981140137,1.6479994058609009,-0.07622934132814407,-0.004996239207684994,1.6479994058609009,-0.07622934132814407,-0.004996239207684994
22,12.0,-1.440000057220459,0.0,89.0999984741211,44.5,1,2,1,2,1,0.00026274286210536957,0.00026274286210536957,10.49532413482666,10.49532413482666,1.596113920211792,-0.05855387821793556,-0.050937119871377945,1.596113920211792,-0.05855387821793556,-0.050937119871377945
23,12.0,0.0,0.9599999785423279,79.5,38.264617919921875,1,2,1,2,1,0.008234516717493534,0.008234516717493534,10.568217277526855,10.568217277526855,1.4720244407653809,-0.042037464678287506,0.039563845843076706,1.4720244407653809,-0.042037464678287506,0.039563845843076706
24,12.0,0.0,-0.9599999785423279,79.5,50.735382080078125,1,2,1,2,1,0.0006092004477977753,0.0006092004477977753,10.339035034179688,10.339035034179688,1.7017507553100586,-0.05003158003091812,-0.04392430558800697,1.7017507553100586,-0.05003158003091812,-0.04392430558800697
